web-scraper-order,Street,full_address,PLZ,Ortschaftsname,Kantonskürzel,housenumber,strplz,address_geocoding,latitude,longitude
1672673957-34502,Route de la Moubra 21,"Route de la Moubra 21, 3963 Crans-Montana",3963,Crans-Montana,VS,21.0,6710,Route de la Moubra 21 Crans-Montana,46.36038589477539,8.972203254699707
1672673957-34503,Rue de Tsintres 6,"Rue de Tsintres 6, 3963 Crans-Montana",3963,Crans-Montana,VS,6.0,6710,Rue de Tsintres 6 Crans-Montana,46.353694915771484,8.97361946105957
1672673283-30026,Route de Lanna 3,"Route de Lanna 3, 3963 Crans-Montana",3963,Crans-Montana,VS,3.0,9553,Route de Lanna 3 Crans-Montana,47.49932861328125,9.026786804199219
1672673283-30033,Allée Élysée Bonvin 3,"Allée Élysée Bonvin 3, 3963 Crans-Montana",3963,Crans-Montana,VS,3.0,8222,Allée Élysée Bonvin 3 Crans-Montana,47.69894790649414,8.578047752380371
1672673286-30049,Rue de Tsintres 6,"Rue de Tsintres 6, 3963 Crans-Montana",3963,Crans-Montana,VS,6.0,8463,Rue de Tsintres 6 Crans-Montana,47.65462112426758,8.65144157409668
1672673286-30051,Allée Élysée Bonvin 3,"Allée Élysée Bonvin 3, 3963 Crans-Montana",3963,Crans-Montana,VS,3.0,8962,Allée Élysée Bonvin 3 Crans-Montana,47.39626693725586,8.373892784118652
1672673289-30068,Avenue de la Gare 22,"Avenue de la Gare 22, 3963 Crans-Montana",3963,Crans-Montana,VS,22.0,8303,Avenue de la Gare 22 Crans-Montana,47.44233322143555,8.627076148986816
1672673292-30093,Rue du Pas de l'Ours 5,"Rue du Pas de l'Ours 5, 3963 Crans-Montana",3963,Crans-Montana,VS,5.0,5330,Rue du Pas de l'Ours 5 Crans-Montana,47.58919143676758,8.29272174835205
1672673301-30141,Route de Lavenire 79,"Route de Lavenire 79, 3963 Crans-Montana",3963,Crans-Montana,VS,79.0,7050,Route de Lavenire 79 Crans-Montana,46.77936935424805,9.677444458007812
1672673301-30143,Rue du Rhodania 1,"Rue du Rhodania 1, 3963 Crans-Montana",3963,Crans-Montana,VS,1.0,1957,Rue du Rhodania 1 Crans-Montana,46.210121154785156,7.258113861083984
